Team;Attack;Midfield;Defense;Overall
manchester-city;85;87;83;84
manchester-united;85;83;81;83
chelsea;84;86;82;83
arsenal;84;80;81;82
liverpool;85;81;80;81
everton;77;80;79;79
leicester;79;79;76;78
west-ham;79;76;74;77
watford;78;77;75;77
burnley;76;77;78;77
crystal;79;76;76;76
west-brom;79;75;77;76
southampton;76;77;75;76
bournemouth;76;75;75;76
stoke;75;76;76;76
newcastle;76;75;76;75
swansea;76;75;74;75
brighton;74;76;74;75
huddersfield;75;73;74;74
wolves;75;76;72;74
aston;73;73;73;73
birmingham;70;70;69;70
norwich;73;71;70;71
sunderland;67;70;70;69
blackburn;68;68;67;68
fulham;73;74;71;72
qpr;71;69;68;69
wigan;70;68;67;68
blackpool;63;65;62;63
cardiff;72;71;72;71
reading;70;70;69;70
tottenham;85;83;82;83
bolton;68;68;69;68
hull;72;70;70;71
middlesbrough;72;72;71;71

